是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.youtube.com/@GrillHunters/videos"",""text"":""https://www.youtube.com/@GrillHunters/videos""}",youtubevideo,否,grillhunters,"yozma, yozmasport，in10",US-Stefan-167,US,Stefan,1490000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@wanderwithgeorge/videos"",""text"":""https://www.youtube.com/@wanderwithgeorge/videos""}",youtube,是,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,10000,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DY74vi_vkgC/"",""text"":""https://www.instagram.com/p/DY74vi_vkgC/""}","{""link"":""https://www.instagram.com/p/DZAai8ZpLk0/"",""text"":""https://www.instagram.com/p/DZAai8ZpLk0/""}",
否,"{""link"":""https://www.youtube.com/@Skidzy_09/shorts"",""text"":""https://www.youtube.com/@Skidzy_09/shorts""}",youtube,否,Skidzyy,"yozma, yozmasport，in10",US-Stefan-035,US,Stefan,9180,,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@ltouns006?lang=en"",""text"":""https://www.tiktok.com/@ltouns006?lang=en""}",tiktok,否,ltouns006,"yozma, yozmasport，in10",EU-Zoe-052,EU,Zoe,10500,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@Biker_motorsport/videos"",""text"":""https://www.youtube.com/@Biker_motorsport/videos""}",youtubevideo,否,biker_motorsport,"yozma, yozmasport，in10",EU-Zoe-042,EU,Zoe,111900,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/zw_squid_ink/reels/"",""text"":""https://www.instagram.com/zw_squid_ink/reels/""}",instagram,是,zw_squid_ink,"yozma, yozmasport，in10",US-Ryan-008,US,Ryan,76000,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DY3QkFFNIc7/"",""text"":""https://www.instagram.com/p/DY3QkFFNIc7/""}",,
是,"{""link"":""https://www.tiktok.com/@hktrott?lang=en"",""text"":""https://www.tiktok.com/@hktrott?lang=en""}",tiktok,否,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,32000,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@bikestar.chris"",""text"":""https://www.tiktok.com/@bikestar.chris""}",tiktok,否,bikestar.chris,"yozma, yozmasport，in10",US-Stefan-045,US,Stefan,9895,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@Bikelifeseb/shorts"",""text"":""https://www.youtube.com/@Bikelifeseb/shorts""}",youtube,否,bikelifeseb,"yozma, yozmasport，in10",US-Vivi-006,US,Vivi,29000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Darzrt/shorts"",""text"":""https://www.youtube.com/@Darzrt/shorts""}",youtubeshort,是,darzrt,"yozma, yozmasport，in10",US-Stefan-060,US,Stefan,71200,,,,,,,"{""text"":""https://www.youtube.com/shorts/PmqNmB8uYmo"",""link"":""https://www.youtube.com/shorts/PmqNmB8uYmo""}","{""text"":""https://www.youtube.com/shorts/bvTZPap9pqU"",""link"":""https://www.youtube.com/shorts/bvTZPap9pqU""}",
否,"{""link"":""https://www.youtube.com/@ItsReidMiller/shorts"",""text"":""https://www.youtube.com/@ItsReidMiller/shorts""}",youtubeshort,否,itsreidmiller,"yozma, yozmasport，in10",US-Lexy-017,US,Lexy,462,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@Reckless_Rides/shorts"",""text"":""https://www.youtube.com/@Reckless_Rides/shorts""}",youtubeshort,是,Reckless_Rides,"yozma, yozmasport，in10",US-Ryan-048,US,Ryan,114000,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.youtube.com/shorts/fQDS8JPwJAE"",""text"":""https://www.youtube.com/shorts/fQDS8JPwJAE""}","{""link"":""https://www.youtube.com/shorts/AV22m0DhPu8"",""text"":""https://www.youtube.com/shorts/AV22m0DhPu8""}","{""text"":""https://www.youtube.com/shorts/5EEvkdTGwxk"",""link"":""https://www.youtube.com/shorts/5EEvkdTGwxk""}"
否,"{""link"":""https://www.youtube.com/@jestonsendsit/shorts"",""text"":""https://www.youtube.com/@jestonsendsit/shorts""}",youtubeshort,否,jestonsendsit,"yozma, yozmasport，in10",US-Nancy-030,US,Nancy,94600,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@3mattq"",""text"":""https://www.tiktok.com/@3mattq""}",tiktok,否,3mattq,"yozma, yozmasport，in10",US-Stefan-043,US,Stefan,16800,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@BaumOutdoors/shorts"",""text"":""https://www.youtube.com/@BaumOutdoors/shorts""}",youtubeshort,是,Baum Outdoors,"yozma, yozmasport，in10",US-Ryan-030,US,Ryan,274000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.youtube.com/shorts/ZzEnIt1CnHc"",""link"":""https://www.youtube.com/shorts/ZzEnIt1CnHc""}",,
否,"{""link"":""https://www.tiktok.com/@zuemuz"",""text"":""https://www.tiktok.com/@zuemuz""}",tiktok,否,zuemuz,"yozma, yozmasport，in10",US-Nancy-011,US,Nancy,65700,,,,,,,,,
否,"{""link"":""https://www.instagram.com/oneway.jakee/"",""text"":""https://www.instagram.com/oneway.jakee/""}",instagramreels,否,oneway.jakee,"yozma, yozmasport，in10",US-Vivi-016,US,Vivi,22000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Revnsk8/featured"",""text"":""https://www.youtube.com/@Revnsk8/featured""}",youtubevideo,否,revnsk8,"yozma, yozmasport，in10",US-Lexy-008,US,Lexy,383700,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/zenith.frs"",""text"":""https://www.instagram.com/zenith.frs""}",instagramreels,否,Zenith FRS,"yozma, yozmasport，in10",US-Stefan-054,US,Stefan,490000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@scootediz?_r=1&_t=ZN-93mnawId0nG"",""text"":""https://www.tiktok.com/@scootediz?_r=1&_t=ZN-93mnawId0nG""}",tiktok,是,scootediz,"yozma, yozmasport，in10",EU-Zoe-002,EU,Zoe,28800,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@scootediz/video/7648595126062763286"",""link"":""https://www.tiktok.com/@scootediz/video/7648595126062763286""}","{""text"":""https://www.tiktok.com/@scootediz/video/7648590961873898774"",""link"":""https://www.tiktok.com/@scootediz/video/7648590961873898774""}",
是,"{""link"":""https://www.youtube.com/@ChrisTheSurfer/videos"",""text"":""https://www.youtube.com/@ChrisTheSurfer/videos""}",youtubevideo,否,ChrisTheSurfer,"yozma, yozmasport，in10",US-Stefan-158,US,Stefan,919000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@ONEWAYGOOEY/videos"",""text"":""https://www.youtube.com/@ONEWAYGOOEY/videos""}",youtubevideo,是,onewaygooey_,"yozma, yozmasport，in10",US-Ryan-016,US,Ryan,2290,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=OGz0VAicutQ"",""link"":""https://www.youtube.com/watch?v=OGz0VAicutQ""}","{""text"":""https://www.youtube.com/watch?v=gUjGD9ix_3Y"",""link"":""https://www.youtube.com/watch?v=gUjGD9ix_3Y""}",
