createdAt,finishedAt,task,status,message,days,maxItems,limitInfluencers,skipInfluencers,platformFilter,usageUsd,scraped,matched,videoCreated,videoSkipped,snapshotCreated
2026-07-20T03:15:50.610Z,2026-07-20T03:15:51.993Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:49.082Z,2026-07-20T03:15:50.491Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:47.508Z,2026-07-20T03:15:48.982Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:45.824Z,2026-07-20T03:15:47.409Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:44.292Z,2026-07-20T03:15:45.716Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:42.607Z,2026-07-20T03:15:44.186Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:41.093Z,2026-07-20T03:15:42.526Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:39.562Z,2026-07-20T03:15:40.984Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:38.021Z,2026-07-20T03:15:39.448Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:36.473Z,2026-07-20T03:15:37.911Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:34.951Z,2026-07-20T03:15:36.364Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:33.366Z,2026-07-20T03:15:34.843Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:15:31.700Z,2026-07-20T03:15:33.268Z,本地新视频发现,failed,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 5 个。,7,20,5,0,tiktok,0,0,0,0,0,0
2026-07-20T03:14:29.416Z,2026-07-20T03:15:31.589Z,本地新视频发现,partial,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 1 个。,7,20,5,0,tiktok,0.063,63,0,0,0,0
2026-07-20T03:13:54.956Z,2026-07-20T03:14:29.299Z,本地新视频发现,success,处理 2 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,2,0,instagramreels,0.002,2,0,0,0,0
2026-07-20T03:12:36.532Z,2026-07-20T03:13:54.845Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0073,9,1,1,0,1
