是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,合作日期,合作进度,合作模式,合作车型,合作量级,合作服务,合同签署日期,合同类型,预计视频交付,已上线视频,待补视频交付,视频交付完成率,合同交付平台拆分,合同交付解析状态,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3,合作周期
是,"{""link"":""https://www.youtube.com/@GrillHunters/videos"",""text"":""https://www.youtube.com/@GrillHunters/videos""}",youtubevideo,否,grillhunters,"yozma, yozmasport，in10",US-Stefan-167,US,Stefan,2026-04-03,跟进视频,已签合同,IN 10 Pro,头部红人(>1M),内容红人,2026-04-02,免费,2,0,2,0%,Instagram Reels 2条,已解析,1490000,营销总表,2026-06-22,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@wanderwithgeorge/videos"",""text"":""https://www.youtube.com/@wanderwithgeorge/videos""}",youtube,是,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,2025-08-01,已出图片视频,已签合同盖章，空运,IN 10,尾部红人(10k-100k),已签合同盖章，空运,,,,0,,,,,10000,营销总表,2026-06-22,,,,,"{""link"":""https://www.instagram.com/p/DY74vi_vkgC/"",""text"":""https://www.instagram.com/p/DY74vi_vkgC/""}","{""link"":""https://www.instagram.com/p/DZAai8ZpLk0/"",""text"":""https://www.instagram.com/p/DZAai8ZpLk0/""}",,
否,"{""link"":""https://www.youtube.com/@Skidzy_09/shorts"",""text"":""https://www.youtube.com/@Skidzy_09/shorts""}",youtube,否,Skidzyy,"yozma, yozmasport，in10",US-Stefan-035,US,Stefan,2025-10-01,已出视频,已签合同盖章，5个月合作,IN 10,微型红人/KOC(1k-10k),已签合同盖章，5个月合作,,,,0,,,,,6300,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@ltouns006?lang=en"",""text"":""https://www.tiktok.com/@ltouns006?lang=en""}",tiktok,是,ltouns006,"yozma, yozmasport，in10",EU-Zoe-052,EU,Zoe,2026-05-25,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-29,免费,,1,,,待人工确认,待人工确认,10800,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@ltouns006/video/7652671806171614496"",""link"":""https://www.tiktok.com/@ltouns006/video/7652671806171614496""}","{""text"":""https://www.tiktok.com/@ltouns006/video/7655139787577298209"",""link"":""https://www.tiktok.com/@ltouns006/video/7655139787577298209""}","{""text"":""https://www.tiktok.com/@ltouns006/video/7654634275911781664"",""link"":""https://www.tiktok.com/@ltouns006/video/7654634275911781664""}",
是,"{""link"":""https://www.youtube.com/@Biker_motorsport/videos"",""text"":""https://www.youtube.com/@Biker_motorsport/videos""}",youtubevideo,否,biker_motorsport,"yozma, yozmasport，in10",EU-Zoe-042,EU,Zoe,2026-05-21,已发货,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-05-29,免费,15,1,14,7%,Instagram Reels 12条 / TikTok 3条,已解析,111900,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.instagram.com/zw_squid_ink/reels/"",""text"":""https://www.instagram.com/zw_squid_ink/reels/""}",instagram,是,zw_squid_ink,"yozma, yozmasport，in10",US-Ryan-008,US,Ryan,2026-03-10,跟进视频,已签合同盖章,IN 10 Pro,尾部红人(10k-100k),已签合同盖章,,,,1,,,,,76000,营销总表,2026-06-22,,,,,"{""link"":""https://www.instagram.com/p/DY3QkFFNIc7/"",""text"":""https://www.instagram.com/p/DY3QkFFNIc7/""}",,,
是,"{""link"":""https://www.tiktok.com/@hktrott?lang=en"",""text"":""https://www.tiktok.com/@hktrott?lang=en""}",tiktok,否,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,2026-05-13,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-21,免费,,1,,,待人工确认,待人工确认,32200,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@bikestar.chris"",""text"":""https://www.tiktok.com/@bikestar.chris""}",tiktok,否,bikestar.chris,"yozma, yozmasport，in10",US-Stefan-045,US,Stefan,2025-10-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,5,,,,,11100,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@Bikelifeseb/shorts"",""text"":""https://www.youtube.com/@Bikelifeseb/shorts""}",youtube,否,bikelifeseb,"yozma, yozmasport，in10",US-Vivi-006,US,Vivi,2025-10-01,已出视频,已签合同盖章，半年合作,IN 10,尾部红人(10k-100k),已签合同盖章，半年合作,,,,0,,,,,29000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@Darzrt/shorts"",""text"":""https://www.youtube.com/@Darzrt/shorts""}",youtubeshort,是,darzrt,"yozma, yozmasport，in10",US-Stefan-060,US,Stefan,2025-11-01,已出视频,已签合同盖章,IN 10,腰部红人(100k-1M),已签合同盖章,,,,2,,,,,389000,营销总表,2026-06-22,,,,,"{""text"":""https://www.youtube.com/shorts/PmqNmB8uYmo"",""link"":""https://www.youtube.com/shorts/PmqNmB8uYmo""}","{""text"":""https://www.youtube.com/shorts/bvTZPap9pqU"",""link"":""https://www.youtube.com/shorts/bvTZPap9pqU""}",,
