createdAt,finishedAt,task,status,message,days,maxItems,limitInfluencers,skipInfluencers,platformFilter,usageUsd,scraped,matched,videoCreated,videoSkipped,snapshotCreated
2026-06-07T10:43:04.846Z,2026-06-07T10:43:11.840Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,1,0,0,0,0
2026-06-07T10:42:34.284Z,2026-06-07T10:43:04.814Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:42:29.893Z,2026-06-07T10:42:34.256Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,1,0,0,0,0
2026-06-07T10:42:18.681Z,2026-06-07T10:42:29.866Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,1,1,0,1
2026-06-07T10:42:11.748Z,2026-06-07T10:42:18.655Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:42:07.149Z,2026-06-07T10:42:11.714Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,1,0,0,0,0
2026-06-07T10:42:00.963Z,2026-06-07T10:42:07.118Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:41:53.544Z,2026-06-07T10:42:00.933Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,1,1,0,1
2026-06-07T10:41:43.080Z,2026-06-07T10:41:53.512Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:41:27.343Z,2026-06-07T10:41:43.051Z,本地新视频发现,success,处理 1 位，新增视频 9 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,9,9,0,9
2026-06-07T10:40:56.819Z,2026-06-07T10:41:27.319Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:40:42.030Z,2026-06-07T10:40:56.790Z,本地新视频发现,success,处理 1 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,2,2,0,2
2026-06-07T10:40:35.914Z,2026-06-07T10:40:42.004Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:40:22.278Z,2026-06-07T10:40:35.880Z,本地新视频发现,success,处理 1 位，新增视频 3 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,3,3,0,3
2026-06-07T10:39:35.938Z,2026-06-07T10:40:22.247Z,本地新视频发现,success,处理 1 位，新增视频 5 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,5,5,0,5
2026-06-07T10:39:15.845Z,2026-06-07T10:39:35.909Z,本地新视频发现,success,处理 1 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,2,2,0,2
2026-06-07T10:39:03.230Z,2026-06-07T10:39:15.810Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:38:47.044Z,2026-06-07T10:39:03.201Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.052,17,0,0,0,0
2026-06-07T10:38:26.997Z,2026-06-07T10:38:47.013Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,2,0,0,0,0
2026-06-07T10:38:16.631Z,2026-06-07T10:38:26.968Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:38:05.246Z,2026-06-07T10:38:16.604Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,4,0,0,0,0
2026-06-07T10:37:51.529Z,2026-06-07T10:38:05.215Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:37:43.406Z,2026-06-07T10:37:51.499Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:37:20.137Z,2026-06-07T10:37:43.371Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:36:54.646Z,2026-06-07T10:37:20.115Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:36:42.120Z,2026-06-07T10:36:54.620Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:36:18.008Z,2026-06-07T10:36:42.089Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:36:06.641Z,2026-06-07T10:36:17.982Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,1,1,0,1
2026-06-07T10:36:00.149Z,2026-06-07T10:36:06.614Z,本地新视频发现,success,处理 1 位，新增视频 4 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,4,4,0,4
2026-06-07T10:35:44.204Z,2026-06-07T10:36:00.120Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.055,18,0,0,0,0
2026-06-07T10:35:31.529Z,2026-06-07T10:35:44.176Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,1,1,0,1
2026-06-07T10:35:24.352Z,2026-06-07T10:35:31.498Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,3,0,0,0,0
2026-06-07T10:35:05.133Z,2026-06-07T10:35:24.322Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:34:58.582Z,2026-06-07T10:35:05.108Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,13,1,1,0,1
2026-06-07T10:34:43.708Z,2026-06-07T10:34:58.555Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,1,1,0,1
2026-06-07T10:34:31.603Z,2026-06-07T10:34:43.680Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,1,1,0,1
2026-06-07T10:34:18.493Z,2026-06-07T10:34:31.571Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,1,1,0,1
2026-06-07T10:34:11.035Z,2026-06-07T10:34:18.461Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:34:02.641Z,2026-06-07T10:34:11.004Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,1,0,0,0,0
2026-06-07T10:33:56.020Z,2026-06-07T10:34:02.614Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,0,0,0,0
2026-06-07T10:33:44.521Z,2026-06-07T10:33:55.990Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,2,0,0,0,0
2026-06-07T10:33:25.178Z,2026-06-07T10:33:44.493Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:33:13.870Z,2026-06-07T10:33:25.150Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:32:31.888Z,2026-06-07T10:33:13.836Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:32:24.827Z,2026-06-07T10:32:31.861Z,本地新视频发现,success,处理 1 位，新增视频 3 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,3,3,0,3
2026-06-07T10:32:00.401Z,2026-06-07T10:32:24.792Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:31:48.592Z,2026-06-07T10:32:00.373Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:31:41.804Z,2026-06-07T10:31:48.506Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:31:16.248Z,2026-06-07T10:31:41.773Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:30:44.301Z,2026-06-07T10:31:16.223Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:30:19.147Z,2026-06-07T10:30:44.269Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,0,0,0,0
2026-06-07T10:29:34.116Z,2026-06-07T10:30:19.099Z,本地新视频发现,success,处理 1 位，新增视频 3 条，跳过重复 2 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,5,3,2,3
2026-06-07T10:29:05.669Z,2026-06-07T10:29:34.082Z,本地新视频发现,success,处理 1 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.076,25,2,2,0,2
2026-06-07T10:28:56.013Z,2026-06-07T10:29:05.639Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:28:45.983Z,2026-06-07T10:28:55.985Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,1,1,0,1
2026-06-07T10:28:32.400Z,2026-06-07T10:28:45.947Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0.001,25,0,0,0,0
2026-06-07T10:28:24.102Z,2026-06-07T10:28:32.367Z,本地新视频发现,success,处理 1 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,9,25,1,0,tiktok,0,25,2,2,0,2
2026-06-07T08:43:04.909Z,2026-06-07T08:43:13.077Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0,30,0,0,0,0
2026-06-07T08:42:52.721Z,2026-06-07T08:43:04.881Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0.091,30,0,0,0,0
2026-06-07T08:42:12.757Z,2026-06-07T08:42:52.692Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0.091,30,0,0,0,0
2026-06-07T08:41:57.738Z,2026-06-07T08:42:12.729Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0.091,30,0,0,0,0
2026-06-07T08:41:50.209Z,2026-06-07T08:41:57.710Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0,30,0,0,0,0
2026-06-07T08:41:42.868Z,2026-06-07T08:41:50.178Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0.001,30,0,0,0,0
2026-06-07T08:41:26.007Z,2026-06-07T08:41:42.840Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,9,30,1,0,tiktok,0.091,30,0,0,0,0
